Species,dd_long,dd_lat
Melocactus_bahiensis,-39.015821,-9.944929
Melocactus_bahiensis,-37.855928,-7.933425
Melocactus_bahiensis,-37.243889,-8.565278
Melocactus_bahiensis,-37.305917,-8.460854
Melocactus_bahiensis,-35.94448,-8.45551
Melocactus_bahiensis,-36.290956,-8.318133
Melocactus_bahiensis,-37.35261,-10.41367
Melocactus_bahiensis,-36.043056,-8.448056
Melocactus_bahiensis,-36.601111,-8.445278
Melocactus_bahiensis,-42.930278,-16.598611
Melocactus_bahiensis,-42.899667,-16.579722
Melocactus_bahiensis,-42.098056,-15.034722
Melocactus_bahiensis,-41.904444,-15.070278
Melocactus_bahiensis,-38.228333,-9.088056
Melocactus_bahiensis,-42.781389,-16.114167
Melocactus_bahiensis,-35.8375,-8.334722
Melocactus_bahiensis,-37.025414,-9.971172
Melocactus_bahiensis,-39.336944,-11.802778
Melocactus_bahiensis,-36.107778,-8.200278
Melocactus_bahiensis,-40.484167,-12.309722
Melocactus_bahiensis,-41.104167,-14.22
Melocactus_bahiensis,-37.216667,-8.566667
Melocactus_bahiensis,-37.234444,-8.589167
Melocactus_bahiensis,-36.888889,-7.466389
Melocactus_bahiensis,-41.310444,-13.744083
Melocactus_bahiensis,-36.680778,-8.749111
Melocactus_bahiensis,-40.576056,-12.382833
Melocactus_bahiensis,-41.862889,-12.408028
Melocactus_bahiensis,-41.578914,-16.590861
Melocactus_bahiensis,-42.538333,-14.350556
